sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
100041,Oregon,100.00,NA,0.00,NA,0.00
100112,Idaho,100.00,NA,0.00,NA,0.00
108839,Oregon,100.00,NA,0.00,NA,0.00
119974,Washington,100.00,NA,0.00,NA,0.00
75493,California,100.00,NA,0.00,NA,0.00
107020,Oregon,100.00,NA,0.00,NA,0.00
105579,Oregon,100.00,NA,0.00,NA,0.00
101877,Oregon,100.00,NA,0.00,NA,0.00
95445,Idaho,100.00,NA,0.00,NA,0.00
93537,California,100.00,NA,0.00,NA,0.00
63912,California,100.00,NA,0.00,NA,0.00
120874,Washington,100.00,NA,0.00,NA,0.00
108425,Idaho,100.00,NA,0.00,NA,0.00
133385,Washington,97.30,NA,0.00,NA,0.00
118099,Washington,100.00,NA,0.00,NA,0.00
102877,Idaho,100.00,NA,0.00,NA,0.00
92168,California,100.00,NA,0.00,NA,0.00
112077,Oregon,100.00,NA,0.00,NA,0.00
125552,Washington,100.00,NA,0.00,NA,0.00
56999,California,100.00,NA,0.00,NA,0.00
103298,Oregon,100.00,NA,0.00,NA,0.00
50499,California,26.89,NA,0.00,NA,0.00
99172,Idaho,100.00,NA,0.00,NA,0.00
114408,Oregon,100.00,NA,0.00,NA,0.00
123209,Washington,100.00,NA,0.00,NA,0.00
98632,California,100.00,NA,0.00,NA,0.00
114895,Washington,100.00,NA,0.00,NA,0.00
70423,California,100.00,NA,0.00,NA,0.00
104189,Oregon,100.00,NA,0.00,NA,0.00
114456,Idaho,100.00,NA,0.00,NA,0.00
99612,Oregon,100.00,NA,0.00,NA,0.00
85194,California,69.60,NA,0.00,NA,0.00
60676,California,100.00,NA,0.00,NA,0.00
72702,California,100.00,NA,0.00,NA,0.00
123197,Washington,100.00,NA,0.00,NA,0.00
102420,Idaho,100.00,NA,0.00,NA,0.00
78281,California,100.00,NA,0.00,NA,0.00
117222,Idaho,100.00,NA,0.00,NA,0.00
57436,California,72.26,NA,0.00,NA,0.00
100498,Oregon,100.00,NA,0.00,NA,0.00
91776,Idaho,100.00,NA,0.00,NA,0.00
112067,Oregon,100.00,NA,0.00,NA,0.00
120921,Washington,88.72,Idaho,11.28,NA,0.00
106083,Oregon,100.00,NA,0.00,NA,0.00
92174,California,100.00,NA,0.00,NA,0.00
95470,Idaho,100.00,NA,0.00,NA,0.00
111625,Oregon,100.00,NA,0.00,NA,0.00
130166,Washington,100.00,NA,0.00,NA,0.00
113509,Oregon,100.00,NA,0.00,NA,0.00
67155,California,100.00,NA,0.00,NA,0.00
127360,Washington,100.00,NA,0.00,NA,0.00
109357,Idaho,100.00,NA,0.00,NA,0.00
45434,California,100.00,NA,0.00,NA,0.00
99599,Oregon,100.00,NA,0.00,NA,0.00
73627,California,100.00,NA,0.00,NA,0.00
63473,California,100.00,NA,0.00,NA,0.00
92221,Idaho,100.00,NA,0.00,NA,0.00
97808,Idaho,100.00,NA,0.00,NA,0.00
87071,California,100.00,NA,0.00,NA,0.00
110256,Oregon,100.00,NA,0.00,NA,0.00
58377,California,100.00,NA,0.00,NA,0.00
101421,Oregon,100.00,NA,0.00,NA,0.00
100103,Idaho,100.00,NA,0.00,NA,0.00
107000,Oregon,100.00,NA,0.00,NA,0.00
120911,Washington,100.00,NA,0.00,NA,0.00
76427,California,100.00,NA,0.00,NA,0.00
106566,Idaho,100.00,NA,0.00,NA,0.00
102353,Oregon,100.00,NA,0.00,NA,0.00
125993,Washington,100.00,NA,0.00,NA,0.00
69016,California,100.00,NA,0.00,NA,0.00
115830,Idaho,100.00,NA,0.00,NA,0.00
49590,California,100.00,NA,0.00,NA,0.00
78256,California,100.00,NA,0.00,NA,0.00
59306,California,100.00,NA,0.00,NA,0.00
124109,Washington,100.00,NA,0.00,NA,0.00
129248,Washington,100.00,NA,0.00,NA,0.00
